rank,name,combined,impact,journals,currency,cases,scope,editing,format
1,Columbia Law Review,100.00,3.29,2130,5.34,69,General,Student-Edited,Print
2,Harvard Law Review,97.88,1.66,2537,2.92,135,General,Student-Edited,Print
3,Stanford Law Review,93.16,4.30,1625,8.56,41,General,Student-Edited,Print
4,Yale Law Journal,79.18,2.86,1612,5.48,71,General,Student-Edited,Print
5,California Law Review,68.54,2.20,1476,3.77,42,General,Student-Edited,Print
6,University of Pennsylvania Law Review,65.34,2.22,1370,3.75,51,General,Student-Edited,Print
7,Cornell Law Review,64.66,2.59,1243,4.81,14,General,Student-Edited,Print
8,Michigan Law Review,63.22,2.01,1367,3.71,34,General,Student-Edited,Print
9,University of Chicago Law Review,59.93,1.89,1300,3.21,38,General,Student-Edited,Print
10,Virginia Law Review,59.04,2.33,1146,4.02,43,General,Student-Edited,Print
11,Duke Law Journal,58.48,2.26,1148,3.92,43,General,Student-Edited,Print
12,New York University Law Review,57.27,2.02,1179,3.30,35,General,Student-Edited,Print
13,Vanderbilt Law Review,56.28,2.06,1137,3.35,18,General,Student-Edited,Print
14,Iowa Law Review,56.19,1.60,1270,2.88,33,General,Student-Edited,Print
15,Boston University Law Review,55.93,1.62,1254,2.80,13,General,Student-Edited,Print
16,Minnesota Law Review,55.13,1.69,1210,3.23,27,General,Student-Edited,Print
17,Georgetown Law Journal,54.80,2.10,1081,4.11,36,General,Student-Edited,Print
18,Northwestern University Law Review,52.15,1.92,1051,3.29,31,General,Student-Edited,Print
19,Texas Law Review,51.33,1.68,1096,3.10,21,General,Student-Edited,Print
20,Fordham Law Review,49.19,1.00,1228,1.67,41,General,Student-Edited,Print
21,UCLA Law Review,47.75,2.05,877,3.95,6,General,Student-Edited,Print
22,Boston College Law Review,47.52,1.21,1115,2.31,30,General,Student-Edited,Print
23,UC Davis Law Review,46.79,1.50,1009,2.31,23,General,Student-Edited,Print
24,Washington University Law Review,46.69,1.55,989,2.58,23,General,Student-Edited,Print
25,Harvard Law Review Forum [online],44.62,2.21,736,3.22,29,General,Student-Edited,Online
26,Yale Law Journal Forum [online],44.58,1.55,924,2.50,25,General,Student-Edited,Online
27,Notre Dame Law Review,43.79,1.25,989,2.02,87,General,Student-Edited,Print
28,Indiana Law Journal,38.40,1.45,763,2.46,13,General,Student-Edited,Print
29,Yale Journal on Regulation,37.93,1.88,623,2.99,18,Specialized,Student-Edited,Print
30,Southern California Law Review,37.40,1.81,627,2.93,6,General,Student-Edited,Print
31,George Washington Law Review,35.45,1.43,679,2.35,38,General,Student-Edited,Print
32,University of Illinois Law Review,34.82,1.15,740,2.05,10,General,Student-Edited,Print
33,Florida Law Review,34.53,1.54,618,2.74,8,General,Student-Edited,Print
34,Washington Law Review,34.36,1.33,675,2.07,12,General,Student-Edited,Print
35,Wisconsin Law Review,33.48,1.08,720,1.82,24,General,Student-Edited,Print
36,William & Mary Law Review,33.41,1.19,685,1.95,8,General,Student-Edited,Print
37,North Carolina Law Review,33.05,1.16,684,2.14,15,General,Student-Edited,Print
38,Cardozo Law Review,31.87,0.90,721,1.42,32,General,Student-Edited,Print
39,Ohio State Law Journal,31.27,1.40,558,2.20,7,General,Student-Edited,Print
40,U.C. Irvine Law Review,29.64,1.21,563,2.01,6,General,Student-Edited,Print
41,Supreme Court Review,28.59,1.90,329,2.23,7,Specialized,Refereed,Print
42,Emory Law Journal,27.72,1.16,517,1.80,12,General,Student-Edited,Print
43,UC Law Journal,27.30,0.91,577,1.56,58,General,Student-Edited,Print
44,Georgia Law Review,26.79,1.12,501,1.80,15,General,Student-Edited,Print
45,Journal of Criminal Law and Criminology,26.41,1.57,360,3.23,13,Specialized,Student-Edited,Print
46,Alabama Law Review,26.27,1.22,456,1.91,18,General,Student-Edited,Print
47,Harvard Journal of Law & Technology,26.17,1.60,344,2.36,4,Specialized,Student-Edited,Print
48,Administrative Law Review,25.74,1.32,411,1.68,9,Specialized,Student-Edited,Print
49,Arizona Law Review,25.56,1.20,440,1.87,11,General,Student-Edited,Print
50,Harvard Journal of Law & Public Policy,25.13,1.12,450,2.08,23,Specialized,Student-Edited,Print
51,Utah Law Review,25.09,1.08,459,1.70,4,General,Student-Edited,Print
52,American University Law Review,24.70,0.90,501,1.51,3,General,Student-Edited,Print
53,Lewis & Clark Law Review,24.57,1.25,395,2.44,6,General,Student-Edited,Print
54,Stanford Law Review Online [online],23.80,1.45,314,3.20,8,General,Student-Edited,Online
55,Columbia Journal of Race and Law [online],22.91,1.72,206,2.45,4,Specialized,Student-Edited,Online
56,Connecticut Law Review,22.53,0.85,447,1.41,4,General,Student-Edited,Print
57,Maryland Law Review,22.43,0.88,437,1.60,18,General,Student-Edited,Print
58,Washington and Lee Law Review,22.16,0.75,466,0.99,10,General,Student-Edited,Print
59,Virginia Law Review Online [online],21.63,1.38,265,2.32,5,General,Student-Edited,Online
60,Journal of Corporation Law,21.07,0.89,393,1.54,6,Specialized,Student-Edited,Print
61,University of Pennsylvania Journal of Business Law,20.80,1.29,266,2.10,5,Specialized,Student-Edited,Print
62,University of Pennsylvania Law Review Online [online],20.74,1.59,179,3.65,2,General,Student-Edited,Online
63,Stanford Technology Law Review [online],20.69,1.62,169,3.33,0,Specialized,Student-Edited,Online
64,Buffalo Law Review,20.64,0.85,389,1.51,20,General,Student-Edited,Print
65,American Journal of International Law,20.26,0.41,506,1.06,1,Specialized,Peer-Edited,Print
66,Yale Journal of Law & Technology [online],19.99,1.24,258,1.71,3,Specialized,Student-Edited,Online
67,Wake Forest Law Review,19.73,0.83,368,1.36,10,General,Student-Edited,Print
68,Harvard Civil Rights-Civil Liberties Law Review,19.43,1.07,289,2.57,3,Specialized,Student-Edited,Print
69,Duke Journal of Constitutional Law & Public Policy,19.24,1.42,180,2.12,5,Specialized,Student-Edited,Print
70,Stanford Journal of Civil Rights and Civil Liberties,19.04,1.31,206,2.44,2,Specialized,Student-Edited,Print
71,Houston Law Review,19.03,0.68,389,0.96,10,General,Student-Edited,Print
