rank,name,issn
1,Columbia Law Review,0010-1958
2,Harvard Law Review,0017-811X
3,Stanford Law Review,0038-9765
4,Yale Law Journal,0044-0094
5,California Law Review,0008-1221
6,University of Pennsylvania Law Review,0041-9907
7,Cornell Law Review,NOT FOUND
8,Michigan Law Review,0026-2234
9,University of Chicago Law Review,0041-9494
10,Virginia Law Review,0042-6601
11,Duke Law Journal,0012-7086
12,New York University Law Review,NOT FOUND
13,Vanderbilt Law Review,NOT FOUND
14,Iowa Law Review,NOT FOUND
15,Boston University Law Review,NOT FOUND
16,Minnesota Law Review,0026-5535
17,Georgetown Law Journal,NOT FOUND
18,Northwestern University Law Review,NOT FOUND
19,Texas Law Review,NOT FOUND
20,Fordham Law Review,NOT FOUND
21,UCLA Law Review,NOT FOUND
22,Boston College Law Review,0161-6587
23,UC Davis Law Review,NOT FOUND
24,Washington University Law Review,NOT FOUND
25,Harvard Law Review Forum [online],NOT FOUND
26,Yale Law Journal Forum [online],NOT FOUND
27,Notre Dame Law Review,NOT FOUND
28,Indiana Law Journal,NOT FOUND
29,Yale Journal on Regulation,NOT FOUND
30,Southern California Law Review,NOT FOUND
